Producer,Model,Efficiency (J/TH),Date
Canaan,AvalonMiner Batch 1,9351,01/01/2013
Canaan,AvalonMiner 2,1600,01/10/2013
Canaan,Jupiter,1484,05/10/2013
ASICMiner,BE Cube,6667,01/11/2013
AntMiner,S1,2000,01/12/2013
AntMiner,U1,1250,01/12/2013
Spondoolies,Hammer,651,19/03/2014
AntMiner,S2,1100,01/04/2014
AntMiner,U2+,1000,01/05/2014
Canaan,AvalonMiner 3,941,01/05/2014
AntMiner,S3,766,01/06/2014
Canaan,Neptune,570,07/06/2014
ASICMiner,BE Blade,7719,10/07/2014
Spondoolies,RockerBox,425,22/07/2014
AntMiner,S4,700,01/10/2014
AntMiner,S5,511,01/12/2014
AntMiner,U3,1000,15/01/2015
AntMiner,S7,273,01/09/2015
Canaan,AvalonMiner 6,309,01/10/2015
AntMiner,S9-11.5,98,01/06/2016
AntMiner,S7-LN,258,01/06/2016
Canaan,AvalonMiner 721,167,01/10/2016
Canaan,AvalonMiner 741,158,01/12/2016
AntMiner,R4,97,01/02/2017
AntMiner,S9-12.5,98,01/02/2017
AntMiner,T9-11.5,126,01/04/2017
AntMiner,S9-13.0,100,01/06/2017
AntMiner,T9-12.5,126,01/08/2017
AntMiner,S9-13.5,98,01/10/2017
AntMiner,S9-14,98,01/11/2017
Canaan,AvalonMiner 821,109,01/12/2017
AntMiner,T9+,136,01/01/2018
AntMiner,V9,257,01/03/2018
Canaan,AvalonMiner 841,99,01/03/2018
Bitfury,BF8162B,96,01/05/2018
AntMiner,S9i-14.0,94,05/01/2018
AntMiner,S9i-13.5,97,01/05/2018
AntMiner,S9i-13.0,99,01/05/2018
ASICMiner,8 Nano Compact,51,01/05/2018
ASICMiner,8 Nano Pro,53,01/05/2018
ASICMiner,48 Th Air,158,01/05/2018
ASICMiner,24 Th Compact,167,01/05/2018
ASICMiner,48 Th,167,01/05/2018
AntMiner,S15,57,11/11/2018
AntMiner,S17,39.5,19/04/2019
AntMiner,S19,34.5,01/05/2020
AntMiner,S19j,36.11,01/06/2021
AntMiner,S19 Pro,29.55,01/05/2020
AntMiner,S19j Pro,30.5,01/06/2021
AntMiner,S19 XP,21.5,1/2/2022